Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Daniel Gorenstein,American mathematician and academic,69,Milt Jackson,American vibraphonist and composer (Modern Jazz Quartet),76,Charlie Munger,American businessman an,1924 -
Matthew Beard,American actor and singer,56,Paul Bomani,"Tanzanian politician and diplomat, 1st Tanzanian Minister of Finance",80,Kazys Petkevičius,Lithuanian basketball player and coach,82
Maurice Béjart,"French-Swiss dancer, choreographer, and director",80,Calum MacKay,Canadian ice hockey player,74,Vernon L. Smith,"American economist and academic, Nobel Priz",1927 -
Ernest Tidyman,American author and screenwriter,56,Vello Viisimaa,Estonian actor and singer,63,Gerhard Weinberg,"German-American historian, author, an",1928 -
Larry L. King,"American journalist, author, and playwright",83,Jean-Pierre Duprey,French poet and sculptor,29,Ty Hardin,America,1930 -
Frederick Wiseman,American director an,1930 -,Jimmy Smyth,Irish hurler,82,Leman Çıdamlı,Turkish actress,80
Giuseppe Patanè,Italian conductor,57,James Hormel,"American philanthropist and diplomat, United States Ambassador t",1933 -,Joseph Koo,Chinese composer an,1933 -
Joe Orton,English author and playwright,34,Alan Berg,American lawyer and radio host,50,Lakhdar Brahimi,"Algerian politician, Algerian Minister of Foreig",1934 -
B. Kliban,American cartoonist,55,Don Nehlen,American football player an,1936 -,James Sinegal,"American businessman, co-founde",1936 -
Petros Markaris,"Greek author, poet, an",1937 -,Matt Robinson,American actor and screenwriter,65,Clay Cole,American television host and producer,72
Frank Langella,America,1938 -,Michèle Mercier,Frenc,1939 -,Phil Read,English motorcycle racer an,1939 -
Martin Evans,English-Welsh geneticist an,1941 -,Younoussi Touré,"Malian politician, Prime Minister o",1941 -,Al Hunt,America,1942 -
Anthony Hamilton-Smith,"3rd Baron Colwyn, English dentist an",1942 -,Dennis Archer,"American lawyer and politician, 67th Mayor o",1942 -,Gennadi Sarafanov,"Russian colonel, pilot, and astronaut",63
Don Novello,"American comedian, screenwriter an",1943 -,Raghunath Anant Mashelkar,Indian rheologist an,1943 -,Ronald Perelman,"American businessman and philanthropist, founded MacAndrews",1943 -
Vladimir Šeks,"Croatian lawyer and politician, 16th Speaker of the Croatia",1943 -,Omar al-Bashir,"Sudanese field marshal and politician, 7th President o",1944 -,Jimmy Hart,American wrestling manager and singer (Th,1944 -
Teresa Torańska,Polish journalist and author,69,Mati Unt,"Estonian author, playwright, and director",61,Jacky Ickx,Belgian race ca,1945 -
Rivellino,Brazilian footballer an,1946 -,Carl B. Hamilton,Swedish economist an,1946 -,Shelby Steele,"American journalist, author, an",1946 -
Leonard Thompson,America,1947 -,Devlet Bahçeli,"Turkish economist, academic, and politician, 57th Deputy Prime Minister o",1948 -,Pavel Grachev,"Russian general and politician, 1st Russian Minister of Defence",64
Dick Quax,New Zealand runner an,1948 -,Ismael Zambada García,Mexican dru,1948 -,Max Azria,Tunisian-French fashio,1949 -
Borys Tarasyuk,Ukrainian politician an,1949 -,Wayne Bennett,Australian rugby player an,1950 -,Tony Currie,Englis,1950 -
Deepa Mehta,Indian-Canadian director an,1950 -,James Richardson,American poet an,1950 -,Prospero Gallinari,Italian terrorist,62
Martha P. Haynes,American astronomer an,1951 -,Hans-Joachim Stuck,German race ca,1951 -,Hamad bin Khalifa Al Thani,"Qatari ruler, 7th Emir o",1952 -
Rosario Marchese,Italian-Canadian educator an,1952 -,Greg Carmichael,English guitarist (Acousti,1953 -,Gary Johnson,"American businessman and politician, 29th Governor of Ne",1953 -
Richard Edson,American drummer and actor (Sonic Youth an,1954 -,Bob Menendez,American lawyer an,1954 -,Dennis O'Driscoll,Irish poet and critic,58
Precious,Canadian wrestler an,1955 -,LaMarr Hoyt,American basebal,1955 -,Gennady Lyachin,Russian captain,45
Mark R. Hughes,"American businessman, founded Herbalife",44,Christine Lagarde,"French lawyer and politician, French Minister o",1956 -,Mike Mitchell,American basketball player,55
Urmas Arumäe,"Estonian lawyer and politician, Estonian Minister o",1957 -,Evangelos Venizelos,"Greek lawyer and politician, Deputy Prime Minister o",1957 -,Dave Silk,American ice hockey player an,1958 -
Andy Andrews,American tenni,1959 -,Azali Assoumani,"Comorian colonel and politician, President of th",1959 -,Panagiotis Giannakis,Greek basketball player an,1959 -
Michel Onfray,French philosopher an,1959 -,Rayo de Jalisco Jr.,Mexica,1960 -,Hakan Karahan,"Turkish author, poet, an",1960 -
Toomas Vitsut,Estonian businessman an,1960 -,Danny Wilson,English footballer an,1960 -,Sergei Babayan,Armenian-American pianist an,1961 -
Fiona Phillips,Englis,1961 -,Anton Muscatelli,Italian-Scottish economist an,1962 -,Alberigo Evani,Italian footballer an,1963 -
Dedee Pfeiffer,American actress an,1964 -,Andrew Valmon,American runner an,1965 -,John Sullivan,American real estate agent an,1965 -
Ivica Dačić,"Serbian journalist and politician, 95th Prime Minister o",1966 -,Tim Dog,American rapper (Ultramagnetic MCs),46,Derrick Thomas,American football player,33
Juanma Bajo Ulloa,Spanish director an,1967 -,Felix Chong,"Hong Kong actor, director, an",1968 -,Miki Higashino,Japanese pianist an,1968 -
Morris Chestnut,American actor an,1969 -,Paul Lawrie,Scottish golfer an,1969 -,Verne Troyer,American actor an,1969 -
Sergei Kiriakov,Russian footballer an,1970 -,Kimberly Page,American wrestling manager an,1970 -,Phoebus,Greek songwriter an,1971 -
Sammie Henson,American wrestler an,1971 -,Bobby Holík,Czech-American ice hockey player an,1971 -,Kalabhavan Mani,Indian actor and singer,45
Chris Potter,American saxophonist an,1971 -,Jyotiraditya Madhavrao Scindia,India,1971 -,Barron Miles,American-Canadian football player an,1972 -
Shelda Bede,Brazilian volleybal,1973 -,Li Fang,Chinese tenni,1973 -,Danny Lloyd,American actor an,1973 -
Bryan Thao Worra,"Laotian-American author, poet, an",1973 -,Christian Paradis,"Canadian lawyer and politician, 9th Canadian Minister o",1974 -,Mohamed Albuflasa,Bahraini poet an,1975 -
Joe Cannon,American soccer player an,1975 -,Becky Kellar-Duke,Canadian ice hocke,1975 -,Bengt Sæternes,Norwegian footballer an,1975 -
Mustafa Doğan,Turkish-German footballer an,1976 -,María de la Paz Hernández,Argentinian field hocke,1977 -,Leoš Friedl,Czech tenni,1977 -
Hasan Salihamidžić,Bosnian footballer an,1977 -,Jerry Yan,Taiwanese actor and singe,1977 -,Vidya Balan,Indian model an,1978 -
Brody Dalle,Australian-American singer-songwriter and guitarist (The Distillers an,1979 -,Koichi Domoto,Japanese singer-songwriter and actor (KinK,1979 -,Lazaros Agadakos,Greek basketbal,1980 -
Karina Jacobsgaard,Danish tenni,1980 -,Zsolt Baumgartner,Hungarian race ca,1981 -,Abdülkadir Koçak,Turkis,1981 -
Eden Riegel,America,1981 -,David Nalbandian,Argentinian tenni,1982 -,Egidio Arévalo Ríos,Uruguaya,1982 -
Calum Davenport,Englis,1983 -,Melaine Walker,Jamaica,1983 -,Christian Eigler,Germa,1984 -
Paolo Guerrero,Peruvia,1984 -,Alok Kapali,Bangladesh,1984 -,Cheung Kin Fung,Hong Kon,1984 -
Rubens Sambueza,Argentinia,1984 -,Michael Witt,Australian rugb,1984 -,Jeff Carter,Canadian ice hocke,1985 -
Eyjólfur Héðinsson,Icelandic footballer an,1985 -,Tiago Splitter,Brazilian basketbal,1985 -,Pablo Cuevas,Uruguayan tenni,1986 -
Colin Morgan,Northern Iris,1986 -,Lee Sungmin,"South Korean singer, dancer, and actor (Supe",1986 -,Gilbert Brulé,Canadian ice hocke,1987 -
Estefanía Craciún,Uruguayan tenni,1987 -,Meryl Davis,American ic,1987 -,Serdar Özkan,Turkis,1987 -
Nelufar Hedayat,Afghan-Englis,1988 -,Ghazala Javed,Pakistani singer and dancer,24,Dallas Keuchel,American basebal,1988 -
Adèle Haenel,Frenc,1989 -,Stefan Reinartz,Germa,1989 -,Safaa Rashed,Iraq,1990 -
Jack Wilshere,Englis,1992 -,Jon Flanagan,Englis,1993 -,Michael Olaitan,Nigeria,1993 -
Adam Campbell,Englis,1995 -,Basilios Bessarion,Greek cardinal and scholar,69,Piero di Cosimo,Italian painter,60
Nathaniel Bacon,English-American rebel leader,29,Osman III,Ottoman sultan,58,Marie Dumesnil,French actress,90
James Wolfe,English general,32,František Brixi,Czech organist and composer,39,Christian Daniel Rauch,German sculptor and educator,80
Pyotr Semyonov-Tyan-Shansky,Russian geographer and statistician,87,Frederick A. Johnson,American banker and politician,60,Queen Emma of Hawaii,,49
Mily Balakirev,Russian pianist and composer,73,Ludwig von Graff,Austrian zoologist,73,Abdülhak Hâmid Tarhan,Turkish playwright and poet,85
William Corless Mills,American historian and curator,68,Dugald Campbell Patterson,Canadian engineer,71,Gilbert Murray,Australian-English playwright and scholar,91
Thérèse of Lisieux,French nun and saint,24,Antonie Pannekoek,Dutch astronomer and theorist,87,Aquiles Serdán,Mexican activist and politician,34
Rudolf Bauer,Hungarian discus thrower,53,Ben-Zion Dinur,"Russian-Israeli historian and politician, 4th Israeli Minister of Education",89,Gordon Flowerdew,"Canadian lieutenant, Victoria Cross recipient",33
Florence Lawrence,Canadian-American actress,52,Burhan Asaf Belge,Turkish diplomat,80,Bertram Stevens,"Australian accountant and politician, 25th Premier of New South Wales",84
Giovanni Michelucci,"Italian architect and urban planner, designed the Firenze Santa Maria Novella railway station",99,Seiichiro Kashio,Japanese tennis player,70,Lillian Leitzel,German acrobat and strongwoman,38
Dziga Vertov,Polish-Russian director and screenwriter,58,Lawrence Wackett,Australian commander and engineer,86,Jim Londos,Greek-American wrestler,78
William Haines,American actor and interior designer,73,Bob Marshall,"American activist, co-founded The Wilderness Society",38,Dan Keating,Irish soldier,105
Jainendra Kumar,Indian author and translator,83,Lev Schnirelmann,Russian mathematician and academic,33,Michael Tippett,English composer and conductor,93
Riccardo Cassin,Italian mountaineer and author,100,Barry Goldwater,American general and politician,89,Anna Lee,English-American actress,91
Kenny Clarke,American drummer and composer (Modern Jazz Quartet),71,Noor Inayat Khan,Russian-English SOE agent,30,Zypora Spaisman,"Polish-American midwife, actress, and producer for the Yiddish stage",86
Willi Graf,German physician and activist,25,Isaac Asimov,"Russian-American chemist, author, and academic",72,Glen Harmon,Canadian ice hockey player,86
Evgenios Spatharis,"Greek puppeteer, actor, and director",85,William J. Crowe,"American admiral and diplomat, United States Ambassador to the United Kingdom",82,Giacomo Furia,Italian actor and screenwriter,90
Daisaku Ikeda,Japanese religiou,1928 -,Robert Goralski,American journalist and author,60,Kate Molale,South African activist and politician,52
Toshiki Kaifu,"Japanese lawyer and politician, 76th Prime Minister o",1931 -,Peter Redgrove,"English poet, author, and playwright",71,Ed Casey,Australian banker and politician,73
Richard Riley,"American soldier, lawyer, and politician, 6th United States Secretary o",1933 -,Keith Thomas,"Welsh historian, author, an",1933 -,David McKee,English author an,1935 -
Roger Miller,American singer-songwriter and actor,56,David Bailey,English photographer an,1937 -,Martin Lauer,German runner an,1937 -
Hans Herbjørnsrud,Norwegian author an,1938 -,Goh Kun,"South Korean politician, 31st Prime Minister of Sout",1938 -,Robert Smithson,American sculptor and photographer,35
S. R. Srinivasa Varadhan,Indian-American mathematician an,1940 -,Thomas Hammarberg,Swedish lawyer an,1942 -,Dennis Hastert,"American educator and politician, 59th Speaker of the United States House o",1942 -
Hugh Shelton,America,1942 -,Janet Akyüz Mattei,Turkish-American astronomer,61,Péter Eötvös,Hungarian composer an,1944 -
Sonny Ruberto,"American baseball player, coach, and manager",68,Jack Hanna,American zoologist an,1947 -,Calvin Hill,American footbal,1947 -
Judith Miller,American journalist an,1948 -,Joyce Wadler,American journalist an,1948 -,Christopher Durang,American playwright an,1949 -
Iris Marion Young,"American political scientist, philosopher, and academic",57,Débora Duarte,Brazilia,1950 -,David Shifrin,American clarinet player an,1950 -
Stipe Božić,Croatian mountaineer an,1951 -,Jim Essian,American baseball player an,1951 -,Alexander Pogrebinsky,Ukrainian-American painter an,1951 -
Indulis Emsis,"Latvian biologist and politician, 9th Prime Minister o",1952 -,Robbie Ftorek,American ice hockey player an,1952 -,Wendy Phillips,America,1952 -
Vincent Racaniello,"American virologist, author, an",1953 -,Jacques Tichelaar,Dutch educator an,1953 -,Henry Bonilla,American broadcaster an,1954 -
John Bedford Lloyd,America,1956 -,Beppe Gabbiani,Italian race ca,1957 -,Helen Goodman,English lawyer an,1958 -
Kirti Azad,Indian cricketer an,1959 -,Ines Müller,German sho,1959 -,Raman Lamba,Indian cricketer,38
Gabrielle Carteris,America,1961 -,Todd Haynes,American director an,1961 -,Craig James,American football player an,1961 -
Robert Wexler,American lawyer an,1961 -,David Cone,American baseball player an,1963 -,Edgar Martínez,American basebal,1963 -
Greg Swindell,American baseball player an,1965 -,Jón Gnarr,Icelandic actor and politician; 20th Mayor of Reykjavi,1967 -,Robert Liberace,America,1967 -
Cuba Gooding,"Jr., American actor an",1968 -,Anky van Grunsven,Dutch hors,1968 -,István Bagyula,Hungarian pol,1969 -
Robby Gordon,American race ca,1969 -,Karl-Heinz Grasser,"Austrian businessman and politician, 16th Finance Minister o",1969 -,Patrick Huard,"Canadian actor, director, an",1969 -
Tommy Morrison,American boxer and actor,44,Christy Turlington,America,1969 -,Eric Whitacre,American composer an,1970 -
Taye Diggs,America,1971 -,Renée Elise Goldsberry,America,1971 -,Lisa Harrison,American basketbal,1971 -
Paweł Januszewski,Polis,1972 -,Rodney MacDonald,"Canadian educator and politician, 26th Premier of Nov",1972 -,Hristos Meletoglou,German-Greek tripl,1972 -
Lucy Davis,Englis,1973 -,Jason de Vos,Canadian soccer player an,1974 -,Ludmila Formanová,Czec,1974 -
Chris Cheney,"Australian singer-songwriter, guitarist and producer (The Living End and Th",1975 -,David Sandström,"Swedish singer-songwriter and drummer (Refused, AC4 and Fina",1975 -,Dax Shepard,America,1975 -
Reuben Thorne,New Zealand rugb,1975 -,Hrysopiyi Devetzi,Gree,1976 -,Brian Boucher,American ice hockey player an,1977 -
Aleš Píša,Czech ice hocke,1977 -,Karina Smirnoff,Ukrainian-America,1978 -,Kjartan Sveinsson,Icelandic keyboard player (Sigu,1978 -
Tim Cruz,American singer (B3 an,1979 -,Jonathan Greening,English footballer an,1979 -,Georgios Dedas,Greek basketbal,1980 -
Jérôme Pineau,Frenc,1980 -,Hanno Balitsch,Germa,1981 -,Ryan Garko,American basebal,1981 -
Maxi Rodríguez,Argentinia,1981 -,Athanasia Tsoumeleka,Greek rac,1982 -,Kate Bosworth,America,1983 -
Ivan Dodig,Croatian tenni,1985 -,Marius Neset,Norwegian saxophonist and compose,1985 -,Heather O'Reilly,American socce,1985 -
Nicolás Bertolo,Argentinia,1986 -,Trombone Shorty,American trumpet player an,1986 -,Damien Tussac,French-German rugb,1988 -
Şeref Osmanoğlu,Ukrainian-Turkish tripl,1989 -,Karel Abraham,Czech motorcycl,1990 -,Maurício Alves Peruchi,Brazilian footballer,24
Luis Pedro Cavanda,Belgia,1991 -,Bryson Tiller,America,1993 -,– Cicero,"Roman philosopher, lawyer, and politician. 4",106 -
Emperor Tsuchimikado of Japan,,35,Pietro Metastasio,Italian poet and songwriter,84,Richard Gridley,American soldier and engineer,86
Fredrik Hasselqvist,Swedish biologist and explorer,30,Veerapandiya Kattabomman,Indian ruler,39,Francis Caulfeild,2nd Earl of Charlemont,88
Antoni Melchior Fijałkowski,Polish archbishop,83,Lucretia Mott,American activist,87,Charles Pelham Villiers,English lawyer and politician,96
Henriette Sontag,German soprano and actress,48,Antoine Thomson d'Abbadie,"French geographer, ethnologist, linguist, and astronomer",87,Samuel C. Pomeroy,American businessman and politician,75
Karel Dežman,"Slovenian archaeologist, botanist, and politician, Mayor of Ljubljana",68,Savitribai Phule,"Indian poet, educator, and activist",66,Sakamoto Ryōma,Japanese samurai and rebel leader,31
Hubert Bland,English businessman,59,William Renshaw,English tennis player,43,Matthew Nathan,"English soldier and politician, 13th Governor of Queensland",77
Henry Handel Richardson,Australian-English author,76,Ichizō Kobayashi,"Japanese businessman and art collector, founded the Hankyu Hanshin Holdings",84,Alexandros Diomidis,"Greek banker and politician, 145th Prime Minister of Greece",75
Josephine Hull,American actress and director,80,Grace Coolidge,"American wife of Calvin Coolidge, 32nd First Lady of the United States",78,Francis Browne,Irish priest and photographer,80
Duncan Gillis,Canadian discus thrower and hammer thrower,80,Raoul Koczalski,Polish pianist and composer,64,Harry Elkins Widener,American businessman,27
August Macke,German-French painter,27,Helen Parkhurst,American author and educator,86,J. R. R. Tolkien,English philologist and author,81
Boris Lyatoshinsky,Ukrainian composer and conductor,73,Marion Davies,"American actress, singer, and producer",64,Carolyn Haywood,American author and illustrator,92
Donald J. Russell,American businessman,85,Robert Adair,American-born British actor,54,Ngo Dinh Diem,"Vietnamese lawyer and politician, 1st President of the Republic of Vietnam",62
Anna May Wong,American actress,56,Ray Milland,Welsh-American actor and director,79,Victor Borge,Danish-American pianist and conductor,91
John Sturges,American director and producer,71,Federico Borrell García,Spanish soldier,24,Renaude Lapointe,Canadian journalist and politician,90
Jack Levine,American painter and soldier,95,Maxene Andrews,American singer (The Andrews Sisters),79,Betty Furness,American actress and television journalist,78
Vernon A. Walters,"American general and diplomat, 17th United States Ambassador to the United Nations",85,Roger Williams Straus,"Jr., American journalist and publisher, co-founded Farrar, Straus and Giroux",87,Dorothy Morrison,America,1919 -
Siegfried Buback,"German lawyer and politician, Attorney General of Germany",57,Renato Carosone,Italian singer-songwriter and pianist,81,Chetan Anand,Indian director and screenwriter,76
Bud Adams,American businessman,90,Hank Stram,American football player and coach,82,Bud Tingwell,"Australian actor, director, and producer",86
André Franquin,Belgian author and illustrator,73,Nell Rankin,American soprano and educator,81,Jill Balcon,English actress,84
George Martin,"English composer, conductor, and producer",90,Nazmiye Demirel,"Turkish wife of Süleyman Demirel, 9th First Lady of Turkey",86,Michael Barratt,English television host an,1928 -
Sergio Leone,"Italian director, producer, and screenwriter",60,Ernst Mahle,German-Brazilian composer an,1929 -,Robert Loggia,American actor and director,85
Dabney Coleman,America,1932 -,Eeles Landström,Finnish pole vaulter an,1932 -,Geoffrey Bindman,Englis,1933 -
Anne Stevenson,American-English poet an,1933 -,Marpessa Dawn,"American-French actress, singer, and dancer",74,Carla Anderson Hills,"American lawyer and politician, 5th United States Secretary of Housing and Urba",1934 -
Michael Layard,Englis,1936 -,Glen A. Larson,"American director, producer, and screenwriter, created Battlestar Galactica",77,Robin Butler,"Baron Butler of Brockwell, English academic an",1938 -
Arik Einstein,Israeli singer-songwriter and actor (The High Windows),74,Bobby Hull,Canadian ice hocke,1939 -,Leo de Berardinis,Italian actor and director,68
Shima Iwashita,Japanes,1941 -,Franklin McCain,American activist,73,John Marsden,Australian lawyer and activist,64
Jarl Alfredius,Swedish journalist,66,David Atherton,"English conductor, co-founded Londo",1944 -,Raewyn Connell,Australian sociologist an,1944 -
David Starkey,English historian an,1945 -,Stephen Stills,"American singer-songwriter, guitarist, an",1945 -,John Paul Jones,"English bass player, songwriter, and producer (Led Zeppelin and Them Crooke",1946 -
Zulema,American singer-songwriter (Faith Hope and Charity),66,Masha and Dasha Krivoshlyapova,Russian conjoined twins,53,Victoria Principal,American actress an,1950 -
Linda Dobbs,English lawyer an,1951 -,Gary Nairn,"Australian surveyor and politician, 14th Special Minister o",1951 -,Esperanza Aguirre,"Spanish civil servant and politician, 3rd President of the Community o",1952 -
Justin Fleming,Australian playwright an,1953 -,Mohammed Waheed Hassan,"Maldivian educator and politician, 5th President of th",1953 -,Mel Gibson,"American-Australian actor, director, producer, an",1956 -
Shim Hyung-rae,"South Korean actor, director, an",1958 -,Russell Spence,English race ca,1960 -,Stewart Hosie,Scottish businessman an,1963 -
Bruce LaBruce,"Canadian director, producer, an",1964 -,Gérald Mossé,Frenc,1967 -,Mayumi Wakamura,Japanes,1967 -
Michael Schumacher,German race ca,1969 -,Gerda Weissensteiner,Italian luger an,1969 -,Cory Cross,Canadian ice hockey player an,1971 -
Dan Harmon,American screenwriter an,1973 -,Robert-Jan Derksen,Dutc,1974 -,Alessandro Petacchi,Italia,1974 -
Jun Maeda,"Japanese businessman, co-founded the Ke",1975 -,Danica McKellar,"American actress, producer, screenwriter, an",1975 -,Angelos Basinas,Gree,1976 -
Lee Bowyer,English footballer an,1977 -,A. J. Burnett,American basebal,1977 -,Mayumi Iizuka,Japanese voice actress an,1977 -
Bryan Clay,America,1980 -,Angela Ruggiero,American ice hocke,1980 -,David Tyree,American footbal,1980 -
Mary Wineberg,America,1980 -,Naresh Iyer,India,1981 -,Eli Manning,American footbal,1981 -
Lasse Nilsson,Swedis,1982 -,Miloš Juhász,Slova,1984 -,Billy Mehmet,English-Iris,1984 -
Linas Kleiza,Lithuanian basketbal,1985 -,Evan Moore,American footbal,1985 -,Dana Hussain,Iraq,1986 -
Jessica O'Rourke,America,1986 -,Dmitry Starodubtsev,Russian pol,1986 -,Jacob Timpano,Australia,1986 -
Reto Berra,Swiss professional ice hocke,1987 -,Leonidas Panagopoulos,Gree,1987 -,Ikechi Anya,Scottish-Nigeria,1988 -
Jonny Evans,Northern Iris,1988 -,Matt Frattin,Canadian ice hocke,1988 -,J. R. Hildebrand,American race ca,1988 -
Anthony Wordsworth,Englis,1989 -,Yoichiro Kakitani,Japanes,1990 -,Jerson Cabral,Dutc,1991 -
Sébastien Faure,Frenc,1991 -,Dane Gagai,Australian rugby leagu,1991 -,Sandra Zaniewska,Polish tenni,1992 -
Emperor Zhezong of China,,23,Amadeus VI,Count of Savoy,49,James Ussher,Irish archbishop and historian,75
Lars Roberg,Swedish physician and academic,78,Hugh Boulter,English-Irish archbishop,70,Giovanni Battista Pergolesi,"Italian composer, violinist, and organist",26
Jacob Grimm,"German philologist, mythologist, and author",78,Louis Braille,"French educator, invented Braille",43,Isaac Pitman,English linguist and educator,84
General Tom Thumb,American circus performer,45,Carl Humann,"German archaeologist, architect, and engineer",57,Katsura Tarō,"Japanese general and politician, 6th Prime Minister of Japan",65
Clara Emilia Smitt,Swedish author,64,Tommy Corcoran,American baseball player and umpire,91,Percy Pitt,English organist and conductor,62
Albert Tyler,American pole vaulter and educator,73,Josef Suk,Czech violinist and composer,61,Marsden Hartley,American painter and poet,66
Rosa Grünberg,Swedish actress and soprano,82,Augustus John,Welsh painter and illustrator,83,Wilhelm Lehmbruck,German sculptor,38
Aristarkh Lentulov,Russian painter and set designer,61,Max Eastman,American author and poet,86,Johanna Westerdijk,Dutch pathologist and academic,78
M. Patanjali Sastri,"Indian lawyer and jurist, 2nd Chief Justice of India",74,Malcolm Wheeler-Nicholson,"American publisher, founded DC Comics",75,Victor Adamson; American director,"producer, screenwriter, and actor",82
Bryn Lewis,Welsh rugby player and soldier,26,María Díaz Cortés,Spanish super-centenarian,117,Yone Minagawa,Japanese super-centenarian,114
Leroy Grumman,"American engineer and businessman, co-founded Grumman Aeronautical Engineering Co.",87,Everett Dirksen,American lieutenant and politician,73,Jørgen Løvset,Norwegian gynecologist and academic,85
Arnold Susi,"Estonian lawyer and politician, Estonian Minister of Education",72,James Bond,American ornithologist and zoologist,89,C. L. R. James,Trinidadian journalist and theorist,88
John McCone,"American businessman and politician, 6th Director of Central Intelligence",89,Sterling Holloway,American actor and singer,87,J. R. Simplot,"American businessman, founded the Simplot Company",99
Noro Morales,Puerto Rican-American pianist and bandleader,52,Malietoa Tanumafili II,Samoan ruler,94,Herman Franks,"American baseball player, coach, and manager",95
Slim Gaillard,American singer-songwriter and guitarist (Slim & Slam),75,Lionel Newman,American pianist and composer,73,Robert Parrish,American actor and director,79
Cris Alexander,"American actor, singer, dancer, designer, and photographer",92,Mart Port,Estonian architect,90,Frank Wess,American saxophonist and flute player (New York Jazz Quartet),91
Sebastian Kappen,Indian priest and theologian,69,Meta Vannas,Estonian lawyer and politician,78,Marianne Werner,German sho,1924 -
Eddie Cusic,American singer-songwriter and guitarist,89,Paul Desmarais,Canadian businessman and philanthropist,86,Barbara Rush,America,1927 -
